BLOCKID|COUNTYFP|COUSUBFP
440010301001000|001|05140
440010301001001|001|05140
440010301001002|001|05140
440010301001003|001|05140
440010301001004|001|05140
440010301001005|001|05140
440010301001006|001|05140
440010301001007|001|05140
440010301001008|001|05140
440010301001009|001|05140
440010301001010|001|05140
440010301001011|001|05140
440010301001012|001|05140
440010301001013|001|05140
440010301001014|001|05140
440010301001015|001|05140
440010301001016|001|05140
440010301001017|001|05140
440010301001018|001|05140
440010301001019|001|05140
440010301001020|001|05140
440010301001021|001|05140
440010301001022|001|05140
440010301001023|001|05140
440010301001024|001|05140
440010301001025|001|05140
440010301001026|001|05140
440010301001027|001|05140
440010301001028|001|05140
440010301001029|001|05140
440010301001030|001|05140
440010301001031|001|05140
440010301001032|001|05140
440010301001033|001|05140
440010301001034|001|05140
440010301001035|001|05140
440010301001036|001|05140
440010301001037|001|05140
440010301001038|001|05140
440010301001039|001|05140
440010301001040|001|05140
440010301001041|001|05140
440010301002000|001|05140
440010301002001|001|05140
440010301002002|001|05140
440010301002003|001|05140
440010301002004|001|05140
440010301002005|001|05140
440010301002006|001|05140
440010301002007|001|05140
440010301002008|001|05140
440010301002009|001|05140
440010301002010|001|05140
440010301002011|001|05140
440010301002012|001|05140
440010301002013|001|05140
440010301002014|001|05140
440010301002015|001|05140
440010301002016|001|05140
440010301002017|001|05140
440010301002018|001|05140
440010301002019|001|05140
440010301002020|001|05140
440010301002021|001|05140
440010301002022|001|05140
440010301002023|001|05140
440010301002024|001|05140
440010301002025|001|05140
440010301002026|001|05140
440010301003000|001|05140
440010301003001|001|05140
440010301003002|001|05140
440010301003003|001|05140
440010301003004|001|05140
440010301003005|001|05140
440010301003006|001|05140
440010301003007|001|05140
440010301003008|001|05140
440010301003009|001|05140
440010301003010|001|05140
440010301003011|001|05140
440010301003012|001|05140
440010301003013|001|05140
440010301003014|001|05140
440010301003015|001|05140
440010301003016|001|05140
440010301003017|001|05140
440010301003018|001|05140
440010301003019|001|05140
440010301003020|001|05140
440010301003021|001|05140
440010301003022|001|05140
440010301003023|001|05140
440010301003024|001|05140
440010301003025|001|05140
440010301003026|001|05140
440010301003027|001|05140
440010301003028|001|05140
440010301003029|001|05140
440010301003030|001|05140
440010301003031|001|05140
440010301003032|001|05140
440010301003033|001|05140
440010301003034|001|05140
440010301003035|001|05140
440010301003036|001|05140
440010301003037|001|05140
440010301003038|001|05140
440010301003039|001|05140
440010301003040|001|05140
440010301003041|001|05140
440010301003042|001|05140
440010301004000|001|05140
440010301004001|001|05140
440010301004002|001|05140
440010301004003|001|05140
440010301004004|001|05140
440010301004005|001|05140
440010301004006|001|05140
440010301004007|001|05140
440010301004008|001|05140
440010301004009|001|05140
440010301004010|001|05140
440010301004011|001|05140
440010301004012|001|05140
440010301004013|001|05140
440010301004014|001|05140
440010301004015|001|05140
440010301004016|001|05140
440010301004017|001|05140
440010301004018|001|05140
440010301004019|001|05140
440010301004020|001|05140
440010301004021|001|05140
440010301004022|001|05140
440010301004023|001|05140
440010301004024|001|05140
440010301004025|001|05140
440010301004026|001|05140
440010301004027|001|05140
440010301004028|001|05140
440010301004029|001|05140
440010301004030|001|05140
440010301004031|001|05140
440010301004032|001|05140
440010301004033|001|05140
440010302001000|001|05140
440010302001001|001|05140
440010302001002|001|05140
440010302001003|001|05140
440010302001004|001|05140
440010302001005|001|05140
440010302001006|001|05140
440010302001007|001|05140
440010302001008|001|05140
440010302001009|001|05140
440010302001010|001|05140
440010302001011|001|05140
440010302001012|001|05140
440010302001013|001|05140
440010302001014|001|05140
440010302001015|001|05140
440010302001016|001|05140
440010302001017|001|05140
440010302001018|001|05140
440010302001019|001|05140
440010302001020|001|05140
440010302001021|001|05140
440010302001022|001|05140
440010302001023|001|05140
440010302001024|001|05140
440010302001025|001|05140
440010302001026|001|05140
440010302001027|001|05140
440010302001028|001|05140
440010302001029|001|05140
440010302001030|001|05140
440010302001031|001|05140
440010302001032|001|05140
440010302001033|001|05140
440010302001034|001|05140
440010302001035|001|05140
440010302001036|001|05140
440010302002000|001|05140
440010302002001|001|05140
440010302002002|001|05140
440010302002003|001|05140
440010302002004|001|05140
440010302002005|001|05140
440010302002006|001|05140
440010302002007|001|05140
440010302002008|001|05140
440010302002009|001|05140
440010302002010|001|05140
440010302002011|001|05140
440010302002012|001|05140
440010302002013|001|05140
440010302002014|001|05140
440010302002015|001|05140
440010302002016|001|05140
440010302002017|001|05140
440010302002018|001|05140
440010302002019|001|05140
440010302002020|001|05140
440010302002021|001|05140
440010302002022|001|05140
440010302002023|001|05140
440010302002024|001|05140
440010302002025|001|05140
440010302002026|001|05140
440010302002027|001|05140
440010302002028|001|05140
440010302003000|001|05140
440010302003001|001|05140
440010302003002|001|05140
440010302003003|001|05140
440010302003004|001|05140
440010302003005|001|05140
440010302003006|001|05140
440010302003007|001|05140
440010302003008|001|05140
440010302003009|001|05140
440010302003010|001|05140
440010302003011|001|05140
440010302003012|001|05140
440010302003013|001|05140
440010302003014|001|05140
440010302003015|001|05140
440010302003016|001|05140
440010302003017|001|05140
440010302003018|001|05140
440010302003019|001|05140
440010302003020|001|05140
440010302003021|001|05140
440010302003022|001|05140
440010302003023|001|05140
440010302003024|001|05140
440010302003025|001|05140
440010302003026|001|05140
440010302003027|001|05140
440010302003028|001|05140
440010302003029|001|05140
440010302003030|001|05140
440010302003031|001|05140
440010303001000|001|05140
440010303001001|001|05140
440010303001002|001|05140
440010303001003|001|05140
440010303001004|001|05140
440010303001005|001|05140
440010303001006|001|05140
440010303001007|001|05140
440010303001008|001|05140
440010303001009|001|05140
440010303001010|001|05140
440010303001011|001|05140
440010303001012|001|05140
440010303001013|001|05140
440010303001014|001|05140
440010303001015|001|05140
440010303001016|001|05140
440010303001017|001|05140
440010303001018|001|05140
440010303001019|001|05140
440010303001020|001|05140
440010303001021|001|05140
440010303001022|001|05140
440010303001023|001|05140
440010303001024|001|05140
440010303001025|001|05140
440010303001026|001|05140
440010303001027|001|05140
440010303001028|001|05140
440010303001029|001|05140
440010303001030|001|05140
440010303001031|001|05140
440010303002000|001|05140
440010303002001|001|05140
440010303002002|001|05140
440010303002003|001|05140
440010303002004|001|05140
440010303002005|001|05140
440010303002006|001|05140
440010303002007|001|05140
440010303002008|001|05140
440010303002009|001|05140
440010303002010|001|05140
440010303002011|001|05140
440010303002012|001|05140
440010303002013|001|05140
440010303002014|001|05140
440010303002015|001|05140
440010303002016|001|05140
440010303002017|001|05140
440010303002018|001|05140
440010303002019|001|05140
440010303002020|001|05140
440010303002021|001|05140
440010303002022|001|05140
440010303002023|001|05140
440010303002024|001|05140
440010303002025|001|05140
440010303002026|001|05140
440010303002027|001|05140
440010303002028|001|05140
440010303002029|001|05140
440010303002030|001|05140
440010303002031|001|05140
440010303002032|001|05140
440010303002033|001|05140
440010303002034|001|05140
440010303002035|001|05140
440010303003000|001|05140
440010303003001|001|05140
440010303003002|001|05140
440010303003003|001|05140
440010303003004|001|05140
440010303003005|001|05140
440010303003006|001|05140
440010303003007|001|05140
440010303003008|001|05140
440010303003009|001|05140
440010303003010|001|05140
440010303003011|001|05140
440010303003012|001|05140
440010303003013|001|05140
440010303003014|001|05140
440010303003015|001|05140
440010303003016|001|05140
440010303003017|001|05140
440010303003018|001|05140
440010303003019|001|05140
440010303003020|001|05140
440010303003021|001|05140
440010303003022|001|05140
440010303003023|001|05140
440010303003024|001|05140
440010303003025|001|05140
440010304001000|001|05140
440010304001001|001|05140
440010304001002|001|05140
440010304001003|001|05140
440010304001004|001|05140
440010304001005|001|05140
440010304001006|001|05140
440010304001007|001|05140
440010304001008|001|05140
440010304001009|001|05140
440010304001010|001|05140
440010304001011|001|05140
440010304001012|001|05140
440010304001013|001|05140
440010304001014|001|05140
440010304001015|001|05140
440010304001016|001|05140
440010304001017|001|05140
440010304001018|001|05140
440010304001019|001|05140
440010304001020|001|05140
440010304001021|001|05140
440010304001022|001|05140
440010304001023|001|05140
440010304002000|001|05140
440010304002001|001|05140
440010304002002|001|05140
440010304002003|001|05140
440010304002004|001|05140
440010304002005|001|05140
440010304002006|001|05140
440010304002007|001|05140
440010304002008|001|05140
440010304002009|001|05140
440010304002010|001|05140
440010304002011|001|05140
440010304002012|001|05140
440010304002013|001|05140
440010304002014|001|05140
440010304002015|001|05140
440010304002016|001|05140
440010304002017|001|05140
440010304002018|001|05140
440010304002019|001|05140
440010304002020|001|05140
440010304002021|001|05140
440010304002022|001|05140
440010304002023|001|05140
440010304002024|001|05140
440010304002025|001|05140
440010304002026|001|05140
440010304002027|001|05140
440010304002028|001|05140
440010304002029|001|05140
440010304002030|001|05140
440010304003000|001|05140
440010304003001|001|05140
440010304003002|001|05140
440010304003003|001|05140
440010304003004|001|05140
440010304003005|001|05140
440010304003006|001|05140
440010304003007|001|05140
440010304003008|001|05140
440010304003009|001|05140
440010304003010|001|05140
440010304003011|001|05140
440010304003012|001|05140
440010304003013|001|05140
440010304003014|001|05140
440010304003015|001|05140
440010304003016|001|05140
440010304003017|001|05140
440010304003018|001|05140
440010304003019|001|05140
440010304003020|001|05140
440010304003021|001|05140
440010304003022|001|05140
440010304003023|001|05140
440010304003024|001|05140
440010304003025|001|05140
440010304003026|001|05140
440010304003027|001|05140
440010304003028|001|05140
440010304003029|001|05140
440010304003030|001|05140
440010304003031|001|05140
440010304003032|001|05140
440010304003033|001|05140
440010304003034|001|05140
440010304003035|001|05140
440010304003036|001|05140
440010304003037|001|05140
440010304003038|001|05140
440010304003039|001|05140
440010305001000|001|73760
440010305001001|001|73760
440010305001002|001|73760
440010305001003|001|73760
440010305001004|001|73760
440010305001005|001|73760
440010305001006|001|73760
440010305001007|001|73760
440010305001008|001|73760
440010305001009|001|73760
440010305001010|001|73760
440010305001011|001|73760
440010305001012|001|73760
440010305001013|001|73760
440010305001014|001|73760
440010305001015|001|73760
440010305001016|001|73760
440010305001017|001|73760
440010305001018|001|73760
440010305001019|001|73760
440010305002000|001|73760
440010305002001|001|73760
440010305002002|001|73760
440010305002003|001|73760
440010305002004|001|73760
440010305002005|001|73760
440010305002006|001|73760
440010305002007|001|73760
440010305002008|001|73760
440010305002009|001|73760
440010305002010|001|73760
440010305002011|001|73760
440010305002012|001|73760
440010305002013|001|73760
440010305002014|001|73760
440010305002015|001|73760
440010305002016|001|73760
440010305002017|001|73760
440010305002018|001|73760
440010305002019|001|73760
440010305002020|001|73760
440010305002021|001|73760
440010305003000|001|73760
440010305003001|001|73760
440010305003002|001|73760
440010305003003|001|73760
440010305003004|001|73760
440010305003005|001|73760
440010305003006|001|73760
440010305003007|001|73760
440010305003008|001|73760
440010305003009|001|73760
440010305003010|001|73760
440010305003011|001|73760
440010305003012|001|73760
440010305003013|001|73760
440010305003014|001|73760
440010305003015|001|73760
440010305003016|001|73760
440010305003017|001|73760
440010305003018|001|73760
440010305003019|001|73760
440010305003020|001|73760
440010305003021|001|73760
440010305003022|001|73760
440010305003023|001|73760
440010305003024|001|73760
440010305003025|001|73760
440010305003026|001|73760
440010305003027|001|73760
440010305003028|001|73760
440010305003029|001|73760
440010305003030|001|73760
440010305003031|001|73760
440010305003032|001|73760
440010305003033|001|73760
440010305003034|001|73760
440010306011000|001|73760
440010306011001|001|73760
440010306011002|001|73760
440010306011003|001|73760
440010306011004|001|73760
440010306011005|001|73760
440010306011006|001|73760
440010306011007|001|73760
440010306011008|001|73760
440010306011009|001|73760
440010306011010|001|73760
440010306011011|001|73760
440010306011012|001|73760
440010306011013|001|73760
440010306011014|001|73760
440010306011015|001|73760
440010306011016|001|73760
440010306011017|001|73760
440010306011018|001|73760
440010306011019|001|73760
440010306011020|001|73760
440010306011021|001|73760
440010306011022|001|73760
440010306011023|001|73760
440010306011024|001|73760
440010306011025|001|73760
440010306011026|001|73760
440010306011027|001|73760
440010306011028|001|73760
440010306011029|001|73760
440010306012000|001|73760
440010306012001|001|73760
440010306012002|001|73760
440010306012003|001|73760
440010306012004|001|73760
440010306012005|001|73760
440010306012006|001|73760
440010306012007|001|73760
440010306012008|001|73760
440010306012009|001|73760
440010306012010|001|73760
440010306012011|001|73760
440010306012012|001|73760
440010306012013|001|73760
440010306012014|001|73760
440010306012015|001|73760
440010306012016|001|73760
440010306012017|001|73760
440010306012018|001|73760
440010306012019|001|73760
440010306012020|001|73760
440010306012021|001|73760
440010306012022|001|73760
440010306012023|001|73760
440010306012024|001|73760
440010306012025|001|73760
440010306012026|001|73760
440010306012027|001|73760
440010306012028|001|73760
