BLOCKID|DISTRICT
440010301001000|00030
440010301001001|00030
440010301001002|00030
440010301001003|00030
440010301001004|00030
440010301001005|00030
440010301001006|00030
440010301001007|00030
440010301001008|00030
440010301001009|00030
440010301001010|00030
440010301001011|00030
440010301001012|00030
440010301001013|00030
440010301001014|00030
440010301001015|00030
440010301001016|00030
440010301001017|00030
440010301001018|00030
440010301001019|00030
440010301001020|00030
440010301001021|00030
440010301001022|00030
440010301001023|00030
440010301001024|00030
440010301001025|00030
440010301001026|00030
440010301001027|00030
440010301001028|00030
440010301001029|00030
440010301001030|00030
440010301001031|00030
440010301001032|00030
440010301001033|00030
440010301001034|00030
440010301001035|00030
440010301001036|00030
440010301001037|00030
440010301001038|00030
440010301001039|00030
440010301001040|00030
440010301001041|00030
440010301002000|00030
440010301002001|00030
440010301002002|00030
440010301002003|00030
440010301002004|00030
440010301002005|00030
440010301002006|00030
440010301002007|00030
440010301002008|00030
440010301002009|00030
440010301002010|00030
440010301002011|00030
440010301002012|00030
440010301002013|00030
440010301002014|00030
440010301002015|00030
440010301002016|00030
440010301002017|00030
440010301002018|00030
440010301002019|00030
440010301002020|00030
440010301002021|00030
440010301002022|00030
440010301002023|00030
440010301002024|00030
440010301002025|00030
440010301002026|00030
440010301003000|00030
440010301003001|00030
440010301003002|00030
440010301003003|00030
440010301003004|00030
440010301003005|00030
440010301003006|00030
440010301003007|00030
440010301003008|00030
440010301003009|00030
440010301003010|00030
440010301003011|00030
440010301003012|00030
440010301003013|00030
440010301003014|00030
440010301003015|00030
440010301003016|00030
440010301003017|00030
440010301003018|00030
440010301003019|00030
440010301003020|00030
440010301003021|00030
440010301003022|00030
440010301003023|00030
440010301003024|00030
440010301003025|00030
440010301003026|00030
440010301003027|00030
440010301003028|00030
440010301003029|00030
440010301003030|00030
440010301003031|00030
440010301003032|00030
440010301003033|00030
440010301003034|00030
440010301003035|00030
440010301003036|00030
440010301003037|00030
440010301003038|00030
440010301003039|00030
440010301003040|00030
440010301003041|00030
440010301003042|00030
440010301004000|00030
440010301004001|00030
440010301004002|00030
440010301004003|00030
440010301004004|00030
440010301004005|00030
440010301004006|00030
440010301004007|00030
440010301004008|00030
440010301004009|00030
440010301004010|00030
440010301004011|00030
440010301004012|00030
440010301004013|00030
440010301004014|00030
440010301004015|00030
440010301004016|00030
440010301004017|00030
440010301004018|00030
440010301004019|00030
440010301004020|00030
440010301004021|00030
440010301004022|00030
440010301004023|00030
440010301004024|00030
440010301004025|00030
440010301004026|00030
440010301004027|00030
440010301004028|00030
440010301004029|00030
440010301004030|00030
440010301004031|00030
440010301004032|00030
440010301004033|00030
440010302001000|00030
440010302001001|00030
440010302001002|00030
440010302001003|00030
440010302001004|00030
440010302001005|00030
440010302001006|00030
440010302001007|00030
440010302001008|00030
440010302001009|00030
440010302001010|00030
440010302001011|00030
440010302001012|00030
440010302001013|00030
440010302001014|00030
440010302001015|00030
440010302001016|00030
440010302001017|00030
440010302001018|00030
440010302001019|00030
440010302001020|00030
440010302001021|00030
440010302001022|00030
440010302001023|00030
440010302001024|00030
440010302001025|00030
440010302001026|00030
440010302001027|00030
440010302001028|00030
440010302001029|00030
440010302001030|00030
440010302001031|00030
440010302001032|00030
440010302001033|00030
440010302001034|00030
440010302001035|00030
440010302001036|00030
440010302002000|00030
440010302002001|00030
440010302002002|00030
440010302002003|00030
440010302002004|00030
440010302002005|00030
440010302002006|00030
440010302002007|00030
440010302002008|00030
440010302002009|00030
440010302002010|00030
440010302002011|00030
440010302002012|00030
440010302002013|00030
440010302002014|00030
440010302002015|00030
440010302002016|00030
440010302002017|00030
440010302002018|00030
440010302002019|00030
440010302002020|00030
440010302002021|00030
440010302002022|00030
440010302002023|00030
440010302002024|00030
440010302002025|00030
440010302002026|00030
440010302002027|00030
440010302002028|00030
440010302003000|00030
440010302003001|00030
440010302003002|00030
440010302003003|00030
440010302003004|00030
440010302003005|00030
440010302003006|00030
440010302003007|00030
440010302003008|00030
440010302003009|00030
440010302003010|00030
440010302003011|00030
440010302003012|00030
440010302003013|00030
440010302003014|00030
440010302003015|00030
440010302003016|00030
440010302003017|00030
440010302003018|00030
440010302003019|00030
440010302003020|00030
440010302003021|00030
440010302003022|00030
440010302003023|00030
440010302003024|00030
440010302003025|00030
440010302003026|00030
440010302003027|00030
440010302003028|00030
440010302003029|00030
440010302003030|00030
440010302003031|00030
440010303001000|00030
440010303001001|00030
440010303001002|00030
440010303001003|00030
440010303001004|00030
440010303001005|00030
440010303001006|00030
440010303001007|00030
440010303001008|00030
440010303001009|00030
440010303001010|00030
440010303001011|00030
440010303001012|00030
440010303001013|00030
440010303001014|00030
440010303001015|00030
440010303001016|00030
440010303001017|00030
440010303001018|00030
440010303001019|00030
440010303001020|00030
440010303001021|00030
440010303001022|00030
440010303001023|00030
440010303001024|00030
440010303001025|00030
440010303001026|00030
440010303001027|00030
440010303001028|00030
440010303001029|00030
440010303001030|00030
440010303001031|00030
440010303002000|00030
440010303002001|00030
440010303002002|00030
440010303002003|00030
440010303002004|00030
440010303002005|00030
440010303002006|00030
440010303002007|00030
440010303002008|00030
440010303002009|00030
440010303002010|00030
440010303002011|00030
440010303002012|00030
440010303002013|00030
440010303002014|00030
440010303002015|00030
440010303002016|00030
440010303002017|00030
440010303002018|00030
440010303002019|00030
440010303002020|00030
440010303002021|00030
440010303002022|00030
440010303002023|00030
440010303002024|00030
440010303002025|00030
440010303002026|00030
440010303002027|00030
440010303002028|00030
440010303002029|00030
440010303002030|00030
440010303002031|00030
440010303002032|00030
440010303002033|00030
440010303002034|00030
440010303002035|00030
440010303003000|00030
440010303003001|00030
440010303003002|00030
440010303003003|00030
440010303003004|00030
440010303003005|00030
440010303003006|00030
440010303003007|00030
440010303003008|00030
440010303003009|00030
440010303003010|00030
440010303003011|00030
440010303003012|00030
440010303003013|00030
440010303003014|00030
440010303003015|00030
440010303003016|00030
440010303003017|00030
440010303003018|00030
440010303003019|00030
440010303003020|00030
440010303003021|00030
440010303003022|00030
440010303003023|00030
440010303003024|00030
440010303003025|00030
440010304001000|00030
440010304001001|00030
440010304001002|00030
440010304001003|00030
440010304001004|00030
440010304001005|00030
440010304001006|00030
440010304001007|00030
440010304001008|00030
440010304001009|00030
440010304001010|00030
440010304001011|00030
440010304001012|00030
440010304001013|00030
440010304001014|00030
440010304001015|00030
440010304001016|00030
440010304001017|00030
440010304001018|00030
440010304001019|00030
440010304001020|00030
440010304001021|00030
440010304001022|00030
440010304001023|00030
440010304002000|00030
440010304002001|00030
440010304002002|00030
440010304002003|00030
440010304002004|00030
440010304002005|00030
440010304002006|00030
440010304002007|00030
440010304002008|00030
