BLOCKID|DISTRICT
440010301001000|032
440010301001001|032
440010301001002|032
440010301001003|032
440010301001004|032
440010301001005|032
440010301001006|032
440010301001007|032
440010301001008|032
440010301001009|032
440010301001010|032
440010301001011|032
440010301001012|032
440010301001013|032
440010301001014|032
440010301001015|032
440010301001016|032
440010301001017|032
440010301001018|032
440010301001019|032
440010301001020|032
440010301001021|032
440010301001022|032
440010301001023|032
440010301001024|032
440010301001025|032
440010301001026|032
440010301001027|032
440010301001028|032
440010301001029|032
440010301001030|032
440010301001031|032
440010301001032|032
440010301001033|032
440010301001034|032
440010301001035|032
440010301001036|032
440010301001037|032
440010301001038|032
440010301001039|032
440010301001040|032
440010301001041|032
440010301002000|032
440010301002001|032
440010301002002|032
440010301002003|032
440010301002004|032
440010301002005|032
440010301002006|032
440010301002007|032
440010301002008|032
440010301002009|032
440010301002010|032
440010301002011|032
440010301002012|032
440010301002013|032
440010301002014|032
440010301002015|032
440010301002016|032
440010301002017|032
440010301002018|032
440010301002019|032
440010301002020|032
440010301002021|032
440010301002022|032
440010301002023|032
440010301002024|032
440010301002025|032
440010301002026|032
440010301003000|032
440010301003001|032
440010301003002|032
440010301003003|032
440010301003004|032
440010301003005|032
440010301003006|032
440010301003007|032
440010301003008|032
440010301003009|032
440010301003010|032
440010301003011|032
440010301003012|032
440010301003013|032
440010301003014|032
440010301003015|032
440010301003016|032
440010301003017|032
440010301003018|032
440010301003019|032
440010301003020|032
440010301003021|032
440010301003022|032
440010301003023|032
440010301003024|032
440010301003025|032
440010301003026|032
440010301003027|032
440010301003028|032
440010301003029|032
440010301003030|032
440010301003031|032
440010301003032|032
440010301003033|032
440010301003034|032
440010301003035|032
440010301003036|032
440010301003037|032
440010301003038|032
440010301003039|032
440010301003040|032
440010301003041|032
440010301003042|032
440010301004000|032
440010301004001|032
440010301004002|032
440010301004003|032
440010301004004|032
440010301004005|032
440010301004006|032
440010301004007|032
440010301004008|032
440010301004009|032
440010301004010|032
440010301004011|032
440010301004012|032
440010301004013|032
440010301004014|032
440010301004015|032
440010301004016|032
440010301004017|032
440010301004018|032
440010301004019|032
440010301004020|032
440010301004021|032
440010301004022|032
440010301004023|032
440010301004024|032
440010301004025|032
440010301004026|032
440010301004027|032
440010301004028|032
440010301004029|032
440010301004030|032
440010301004031|032
440010301004032|032
440010301004033|032
440010302001000|032
440010302001001|032
440010302001002|032
440010302001003|032
440010302001004|032
440010302001005|032
440010302001006|032
440010302001007|032
440010302001008|032
440010302001009|032
440010302001010|032
440010302001011|032
440010302001012|032
440010302001013|032
440010302001014|032
440010302001015|032
440010302001016|032
440010302001017|032
440010302001018|032
440010302001019|032
440010302001020|032
440010302001021|032
440010302001022|032
440010302001023|032
440010302001024|032
440010302001025|032
440010302001026|032
440010302001027|032
440010302001028|032
440010302001029|032
440010302001030|032
440010302001031|032
440010302001032|032
440010302001033|032
440010302001034|032
440010302001035|032
440010302001036|032
440010302002000|032
440010302002001|032
440010302002002|032
440010302002003|032
440010302002004|032
440010302002005|032
440010302002006|032
440010302002007|032
440010302002008|032
440010302002009|032
440010302002010|032
440010302002011|032
440010302002012|032
440010302002013|032
440010302002014|032
440010302002015|032
440010302002016|032
440010302002017|032
440010302002018|032
440010302002019|032
440010302002020|032
440010302002021|032
440010302002022|032
440010302002023|032
440010302002024|032
440010302002025|032
440010302002026|032
440010302002027|032
440010302002028|032
440010302003000|032
440010302003001|032
440010302003002|032
440010302003003|032
440010302003004|032
440010302003005|032
440010302003006|032
440010302003007|032
440010302003008|032
440010302003009|032
440010302003010|032
440010302003011|032
440010302003012|032
440010302003013|032
440010302003014|032
440010302003015|032
440010302003016|032
440010302003017|032
440010302003018|032
440010302003019|032
440010302003020|032
440010302003021|032
440010302003022|032
440010302003023|032
440010302003024|032
440010302003025|032
440010302003026|032
440010302003027|032
440010302003028|032
440010302003029|032
440010302003030|032
440010302003031|032
440010303001000|032
440010303001001|032
440010303001002|032
440010303001003|032
440010303001004|032
440010303001005|032
440010303001006|032
440010303001007|032
440010303001008|032
440010303001009|032
440010303001010|032
440010303001011|032
440010303001012|032
440010303001013|032
440010303001014|032
440010303001015|032
440010303001016|032
440010303001017|032
440010303001018|032
440010303001019|032
440010303001020|032
440010303001021|032
440010303001022|032
440010303001023|032
440010303001024|032
440010303001025|032
440010303001026|032
440010303001027|032
440010303001028|032
440010303001029|032
440010303001030|032
440010303001031|032
440010303002000|032
440010303002001|032
440010303002002|032
440010303002003|032
440010303002004|032
440010303002005|032
440010303002006|032
440010303002007|032
440010303002008|032
440010303002009|032
440010303002010|032
440010303002011|032
440010303002012|032
440010303002013|032
440010303002014|032
440010303002015|032
440010303002016|032
440010303002017|032
440010303002018|032
440010303002019|032
440010303002020|032
440010303002021|032
440010303002022|032
440010303002023|032
440010303002024|032
440010303002025|032
440010303002026|032
440010303002027|032
440010303002028|032
440010303002029|032
440010303002030|032
440010303002031|032
440010303002032|032
440010303002033|032
440010303002034|032
440010303002035|032
440010303003000|032
440010303003001|032
440010303003002|032
440010303003003|032
440010303003004|032
440010303003005|032
440010303003006|032
440010303003007|032
440010303003008|032
440010303003009|032
440010303003010|032
440010303003011|032
440010303003012|032
440010303003013|032
440010303003014|032
440010303003015|032
440010303003016|032
440010303003017|032
440010303003018|032
440010303003019|032
440010303003020|032
440010303003021|032
440010303003022|032
440010303003023|032
440010303003024|032
440010303003025|032
440010304001000|032
440010304001001|032
440010304001002|032
440010304001003|032
440010304001004|032
440010304001005|032
440010304001006|032
440010304001007|032
440010304001008|032
440010304001009|032
440010304001010|032
440010304001011|032
440010304001012|032
440010304001013|032
440010304001014|032
440010304001015|032
440010304001016|032
440010304001017|032
440010304001018|032
440010304001019|032
440010304001020|032
440010304001021|032
440010304001022|032
440010304001023|032
440010304002000|032
440010304002001|032
440010304002002|032
440010304002003|032
440010304002004|032
440010304002005|032
440010304002006|032
440010304002007|032
440010304002008|032
440010304002009|032
440010304002010|032
440010304002011|032
440010304002012|032
440010304002013|032
440010304002014|032
440010304002015|032
440010304002016|032
440010304002017|032
440010304002018|032
440010304002019|032
440010304002020|032
440010304002021|032
440010304002022|032
440010304002023|032
440010304002024|032
440010304002025|032
440010304002026|032
440010304002027|032
440010304002028|032
440010304002029|032
440010304002030|032
440010304003000|032
440010304003001|032
440010304003002|032
440010304003003|032
440010304003004|032
440010304003005|032
440010304003006|032
440010304003007|032
440010304003008|032
440010304003009|032
440010304003010|032
440010304003011|032
440010304003012|032
440010304003013|032
440010304003014|032
440010304003015|032
440010304003016|032
440010304003017|032
440010304003018|032
440010304003019|032
440010304003020|032
440010304003021|032
440010304003022|032
440010304003023|032
440010304003024|032
440010304003025|032
440010304003026|032
440010304003027|032
440010304003028|032
440010304003029|032
440010304003030|032
440010304003031|032
440010304003032|032
440010304003033|032
440010304003034|032
440010304003035|032
440010304003036|032
440010304003037|032
440010304003038|032
440010304003039|032
440010305001000|010
440010305001001|010
440010305001002|010
440010305001003|010
440010305001004|010
440010305001005|010
440010305001006|010
440010305001007|010
440010305001008|010
440010305001009|010
440010305001010|010
440010305001011|010
440010305001012|010
440010305001013|010
440010305001014|010
440010305001015|010
440010305001016|010
440010305001017|010
440010305001018|010
440010305001019|010
440010305002000|010
440010305002001|010
440010305002002|010
440010305002003|010
440010305002004|010
440010305002005|010
440010305002006|010
440010305002007|010
440010305002008|010
440010305002009|010
440010305002010|010
440010305002011|010
440010305002012|010
440010305002013|010
440010305002014|010
440010305002015|010
440010305002016|010
440010305002017|010
440010305002018|010
440010305002019|010
440010305002020|010
440010305002021|010
440010305003000|010
440010305003001|010
440010305003002|010
440010305003003|010
440010305003004|010
440010305003005|010
440010305003006|010
440010305003007|010
440010305003008|010
440010305003009|010
440010305003010|010
440010305003011|010
440010305003012|010
440010305003013|010
440010305003014|010
440010305003015|010
440010305003016|010
440010305003017|010
440010305003018|010
440010305003019|010
440010305003020|010
440010305003021|010
440010305003022|010
440010305003023|010
440010305003024|010
440010305003025|010
440010305003026|010
440010305003027|010
440010305003028|010
440010305003029|010
440010305003030|010
440010305003031|010
440010305003032|010
440010305003033|010
440010305003034|010
440010306011000|010
440010306011001|010
440010306011002|010
440010306011003|010
440010306011004|010
440010306011005|010
440010306011006|010
440010306011007|010
440010306011008|010
440010306011009|010
440010306011010|010
440010306011011|010
440010306011012|010
440010306011013|010
440010306011014|010
440010306011015|010
440010306011016|010
440010306011017|010
440010306011018|010
440010306011019|010
440010306011020|010
440010306011021|010
440010306011022|010
440010306011023|010
440010306011024|010
440010306011025|010
440010306011026|010
440010306011027|010
440010306011028|010
440010306011029|010
440010306012000|010
440010306012001|010
440010306012002|010
440010306012003|010
440010306012004|010
440010306012005|010
440010306012006|010
440010306012007|010
440010306012008|010
440010306012009|010
440010306012010|010
440010306012011|010
440010306012012|010
440010306012013|010
440010306012014|010
440010306012015|010
440010306012016|010
440010306012017|010
440010306012018|010
440010306012019|010
440010306012020|010
440010306012021|010
440010306012022|010
440010306012023|010
440010306012024|010
440010306012025|010
440010306012026|010
440010306012027|010
440010306012028|010
440010306012029|010
440010306012030|010
440010306012031|010
440010306012032|010
440010306012033|010
440010306012034|010
440010306012035|010
440010306013000|010
440010306013001|010
440010306013002|010
440010306013003|010
440010306013004|010
440010306013005|010
440010306013006|010
440010306013007|010
440010306013008|010
440010306013009|010
440010306013010|010
440010306013011|010
440010306013012|010
440010306013013|010
440010306013014|010
440010306013015|010
440010306013016|010
440010306013017|010
440010306013018|010
440010306013019|010
440010306013020|010
440010306013021|010
440010306013022|010
440010306013023|010
440010306013024|010
440010306013025|010
440010306013026|010
440010306013027|010
440010306013028|010
440010306013029|010
440010306013030|010
440010306021000|010
440010306021001|010
440010306021002|010
440010306021003|010
440010306021004|010
440010306021005|010
440010306021006|010
440010306021007|010
440010306021008|010
440010306021009|010
440010306021010|010
440010306021011|010
440010306021012|010
440010306021013|010
440010306021014|010
440010306021015|010
440010306021016|010
440010306021017|010
440010306021018|010
440010306021019|010
440010306021020|010
440010306022000|010
440010306022001|010
440010306022002|010
440010306022003|010
440010306022004|010
440010306022005|010
440010306022006|010
440010306022007|010
440010306022008|010
440010306022009|010
440010306022010|010
440010306022011|010
440010306022012|010
440010306022013|010
440010306022014|010
440010306022015|010
440010306022016|010
440010306022017|010
440010306022018|010
440010306022019|010
440010306022020|010
440010306022021|010
440010306022022|010
440010306023000|010
440010306023001|010
440010306023002|010
440010306023003|010
440010306023004|010
440010306023005|010
440010306023006|010
440010306023007|010
440010306023008|010
440010306023009|010
440010306023010|010
440010306023011|010
440010306023012|010
440010306023013|010
440010306023014|010
440010306023015|010
440010306023016|010
440010306023017|010
440010306023018|010
440010306023019|010
440010306023020|010
440010306023021|010
440010306023022|010
440010306023023|010
440010306023024|010
440010306023025|010
440010306023026|010
440010306024000|010
440010306024001|010
440010306024002|010
440010306024003|010
440010306024004|010
440010306024005|010
440010306024006|010
440010306024007|010
440010306024008|010
440010306024009|010
440010306024010|010
440010306024011|010
440010307001000|032
440010307001001|010
440010307001002|032
440010307001003|032
440010307001004|032
440010307001005|032
440010307001006|032
440010307001007|032
440010307001008|032
440010307001009|032
440010307001010|032
440010307001011|032
440010307001012|032
440010307002000|011
440010307002001|011
440010307002002|011
440010307002003|011
440010307002004|011
440010307002005|011
440010307002006|011
440010307002007|011
440010307002008|011
440010307002009|011
440010307003000|011
440010307003001|011
440010307003002|011
440010307003003|011
440010307003004|011
440010307003005|011
440010307003006|011
440010307003007|011
440010307003008|011
440010307003009|011
440010307004000|032
440010307004001|032
440010307004002|032
440010307004003|032
440010307004004|011
440010307004005|011
440010307004006|011
440010307004007|011
440010307004008|011
440010307004009|011
440010307004010|032
440010307004011|032
440010307004012|011
440010307004013|011
440010307004014|011
440010307004015|011
440010307004016|011
440010307004017|011
440010307004018|011
440010307004019|011
440010307004020|011
440010307004021|011
440010307004022|011
440010308001000|010
440010308001001|010
440010308001002|010
440010308001003|010
440010308001004|010
440010308001005|010
440010308001006|010
440010308001007|010
440010308001008|010
440010308001009|011
440010308001010|011
440010308001011|011
440010308001012|011
440010308001013|011
440010308001014|011
440010308001015|011
440010308001016|011
440010308001017|011
440010308001018|011
440010308001019|011
440010308001020|011
440010308001021|011
440010308001022|011
440010308001023|011
440010308001024|011
440010308001025|011
440010308001026|011
440010308001027|011
440010308001028|011
440010308002000|011
440010308002001|011
440010308002002|011
440010308002003|011
440010308002004|011
440010308002005|011
440010308002006|011
440010308002007|011
440010308002008|011
440010308002009|011
440010308002010|011
440010308002011|011
440010308002012|011
440010308002013|011
440010308002014|011
440010308002015|011
440010308002016|011
440010308002017|011
440010308002018|011
440010308003000|011
440010308003001|011
440010308003002|011
440010308003003|011
440010308003004|011
440010308003005|011
440010308003006|011
440010308003007|011
440010308003008|011
440010308003009|011
440010308003010|011
440010308003011|011
440010308003012|011
440010308003013|011
440010308003014|011
440010308003015|011
440010308003016|011
440010308003017|011
440010308003018|011
440010308003019|011
440010308003020|011
440010308003021|010
440010308003022|011
440010309011000|010
440010309011001|010
440010309011002|010
440010309011003|010
440010309011004|010
440010309011005|010
440010309011006|010
440010309011007|010
440010309011008|010
440010309011009|010
440010309011010|010
440010309011011|010
440010309011012|010
440010309011013|010
440010309011014|010
440010309011015|010
440010309011016|010
440010309011017|010
440010309011018|010
440010309011019|010
440010309011020|010
440010309011021|010
440010309011022|010
440010309011023|010
440010309011024|010
440010309011025|010
440010309011026|010
440010309011027|010
440010309011028|010
440010309011029|010
440010309011030|010
440010309011031|010
440010309011032|010
440010309011033|010
440010309011034|010
440010309011035|010
440010309011036|010
440010309011037|010
440010309012000|010
440010309012001|010
440010309012002|010
440010309012003|010
440010309012004|010
440010309012005|010
440010309012006|010
440010309012007|010
440010309012008|010
440010309012009|010
440010309012010|010
440010309012011|010
440010309012012|010
440010309012013|010
440010309012014|010
440010309012015|010
440010309012016|010
440010309012017|010
440010309012018|010
440010309012019|010
440010309012020|010
440010309012021|010
440010309012022|010
440010309012023|010
440010309012024|010
440010309012025|010
440010309012026|010
440010309012027|010
440010309012028|010
440010309012029|010
440010309012030|010
440010309012031|010
440010309012032|010
440010309012033|010
440010309012034|010
440010309012035|010
440010309012036|010
440010309012037|010
440010309012038|010
440010309012039|010
440010309012040|010
440010309012041|010
440010309012042|010
440010309012043|010
440010309012044|010
440010309012045|010
440010309012046|010
440010309012047|010
440010309012048|010
440010309012049|010
440010309012050|010
440010309012051|010
440010309012052|010
440010309012053|010
440010309012054|010
440010309012055|010
440010309012056|010
440010309012057|010
440010309012058|010
440010309012059|010
440010309013000|010
440010309013001|010
440010309013002|010
440010309013003|010
440010309013004|010
440010309013005|010
440010309013006|010
440010309013007|010
440010309013008|010
440010309013009|010
440010309013010|010
440010309013011|010
440010309013012|010
440010309013013|010
440010309013014|010
440010309013015|010
440010309013016|010
440010309013017|010
440010309013018|010
440010309013019|010
440010309013020|010
440010309013021|010
440010309013022|010
440010309013023|010
440010309013024|010
440010309013025|010
440010309013026|010
440010309013027|010
440010309013028|010
440010309013029|010
440010309013030|010
440010309013031|010
440010309013032|010
440010309013033|010
440010309013034|010
440010309013035|010
440010309013036|010
440010309013037|010
440010309021000|010
440010309021001|010
440010309021002|010
440010309021003|010
440010309021004|010
440010309021005|010
440010309021006|010
440010309021007|010
440010309021008|010
440010309021009|032
440010309021010|032
440010309021011|032
440010309021012|010
440010309021013|010
440010309021014|032
440010309021015|032
440010309021016|032
440010309021017|010
440010309021018|032
440010309021019|032
440010309021020|032
440010309021021|032
440010309021022|032
440010309021023|032
440010309021024|032
440010309021025|032
440010309021026|032
440010309021027|032
440010309021028|032
440010309021029|032
440010309021030|010
440010309022000|032
440010309022001|032
440010309022002|032
440010309022003|032
440010309022004|032
440010309022005|032
440010309022006|032
440010309022007|032
440010309022008|032
440010309022009|032
440010309022010|032
440010309022011|032
440010309022012|032
440010309022013|032
440010309022014|032
440010309022015|032
440010309022016|032
440010309022017|032
440010309022018|032
440010309022019|032
440010309022020|032
440010309022021|032
440010309022022|032
440010309022023|032
440010309022024|032
440010309022025|032
440010309022026|032
440010309022027|032
440010309022028|032
440010309022029|032
440010309022030|032
440010309022031|032
440010309023000|032
440010309023001|032
440010309023002|032
440010309023003|032
440010309023004|032
440010309023005|032
440010309023006|032
440010309023007|032
440010309023008|032
440010309023009|032
440010309023010|032
440010309023011|032
440010309023012|032
440010309023013|032
440010309023014|032
440010309023015|032
440010309023016|032
440010309023017|032
440010309023018|032
440010309023019|032
440010309023020|032
440010309023021|032
440010309023022|032
440010309023023|032
440010309023024|032
440010309023025|032
440010309023026|032
440010309023027|032
440010309023028|032
440010309023029|032
440010309023030|032
440010309023031|032
440010309024000|032
440010309024001|010
440010309024002|010
440010309024003|010
440010309024004|010
440010309024005|032
440010309024006|032
